type;marque;modele;;;;identifiant;;;;;;;;
Voiture;FIAT;STILO;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STILO  ', 31);";;;;;;;
Voiture;FIAT;STILO;COMMERCIALE;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STILO COMMERCIALE ', 31);";;;;;;;
Voiture;FIAT;STILO;MULTIWAGON;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STILO MULTIWAGON ', 31);";;;;;;;
Voiture;FIAT;STILO;UPROAD;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STILO UPROAD ', 31);";;;;;;;
Voiture;FIAT;STRADA;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STRADA  ', 31);";;;;;;;
Voiture;FIAT;TEMPRA;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TEMPRA  ', 31);";;;;;;;
Voiture;FIAT;TIPO;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TIPO  ', 31);";;;;;;;
Voiture;FIAT;ULYSSE;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ULYSSE  ', 31);";;;;;;;
Voiture;FIAT;UNO;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('UNO  ', 31);";;;;;;;
Voiture;FIAT;X1/9;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('X1/9  ', 31);";;;;;;;
Voiture;FIAT;AUTRE;;;;31;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 31);";;;;;;;
Voiture;FORD;AEROSTAR;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AEROSTAR  ', 32);";;;;;;;
Voiture;FORD;B-MAX;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('B-MAX  ', 32);";;;;;;;
Voiture;FORD;BRONCO;II;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('BRONCO II ', 32);";;;;;;;
Voiture;FORD;C;MAX;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('C MAX ', 32);";;;;;;;
Voiture;FORD;CAPRI;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CAPRI  ', 32);";;;;;;;
Voiture;FORD;COMPACT;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('COMPACT  ', 32);";;;;;;;
Voiture;FORD;COUGAR;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('COUGAR  ', 32);";;;;;;;
Voiture;FORD;COURRIER;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('COURRIER  ', 32);";;;;;;;
Voiture;FORD;ECOSPORT;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ECOSPORT  ', 32);";;;;;;;
Voiture;FORD;EDGE;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('EDGE  ', 32);";;;;;;;
Voiture;FORD;ESCORT;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ESCORT  ', 32);";;;;;;;
Voiture;FORD;EXPLORER;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('EXPLORER  ', 32);";;;;;;;
Voiture;FORD;FIESTA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FIESTA  ', 32);";;;;;;;
Voiture;FORD;FOCUS;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FOCUS  ', 32);";;;;;;;
Voiture;FORD;FOCUS;C-MAX;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FOCUS C-MAX ', 32);";;;;;;;
Voiture;FORD;FOCUS;COUPE;CABRIO;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FOCUS COUPE CABRIO', 32);";;;;;;;
Voiture;FORD;FUSION;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FUSION  ', 32);";;;;;;;
Voiture;FORD;GALAXY;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GALAXY  ', 32);";;;;;;;
Voiture;FORD;GRANADA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GRANADA  ', 32);";;;;;;;
Voiture;FORD;JEEP;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('JEEP  ', 32);";;;;;;;
Voiture;FORD;KA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KA  ', 32);";;;;;;;
Voiture;FORD;KUGA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KUGA  ', 32);";;;;;;;
Voiture;FORD;MAVERICK;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MAVERICK  ', 32);";;;;;;;
Voiture;FORD;MONDEO;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MONDEO  ', 32);";;;;;;;
Voiture;FORD;MUSTANG;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MUSTANG  ', 32);";;;;;;;
Voiture;FORD;ORION;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ORION  ', 32);";;;;;;;
Voiture;FORD;P100;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('P100  ', 32);";;;;;;;
Voiture;FORD;PROBE;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('PROBE  ', 32);";;;;;;;
Voiture;FORD;PUMA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('PUMA  ', 32);";;;;;;;
Voiture;FORD;RANGER;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RANGER  ', 32);";;;;;;;
Voiture;FORD;S;MAX;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S MAX ', 32);";;;;;;;
Voiture;FORD;SCORPIO;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SCORPIO  ', 32);";;;;;;;
Voiture;FORD;SIERRA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SIERRA  ', 32);";;;;;;;
Voiture;FORD;S-MAX;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S-MAX  ', 32);";;;;;;;
Voiture;FORD;SPORTKA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SPORTKA  ', 32);";;;;;;;
Voiture;FORD;STREETKA;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STREETKA  ', 32);";;;;;;;
Voiture;FORD;TAUNUS;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TAUNUS  ', 32);";;;;;;;
Voiture;FORD;TOURNEO;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TOURNEO  ', 32);";;;;;;;
Voiture;FORD;TOURNEO;CONNECT;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TOURNEO CONNECT ', 32);";;;;;;;
Voiture;FORD;TOURNEO;COURIER;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TOURNEO COURIER ', 32);";;;;;;;
Voiture;FORD;TOURNEO;CUSTOM;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TOURNEO CUSTOM ', 32);";;;;;;;
Voiture;FORD;TRANSIT;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRANSIT  ', 32);";;;;;;;
Voiture;FORD;TRANSIT;CONNECT;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRANSIT CONNECT ', 32);";;;;;;;
Voiture;FORD;TRANSIT;COURIER;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRANSIT COURIER ', 32);";;;;;;;
Voiture;FORD;TRANSIT;CUSTOM;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRANSIT CUSTOM ', 32);";;;;;;;
Voiture;FORD;TRANSIT;VI;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRANSIT VI ', 32);";;;;;;;
Voiture;FORD;AUTRE;;;;32;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 32);";;;;;;;
Voiture;FSO;ATOU;;;;33;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ATOU  ', 33);";;;;;;;
Voiture;FSO;CARO;;;;33;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CARO  ', 33);";;;;;;;
Voiture;FSO;TRUCK;;;;33;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRUCK  ', 33);";;;;;;;
Voiture;FSO;AUTRE;;;;33;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 33);";;;;;;;
Voiture;FUSO;CANTER;;;;34;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CANTER  ', 34);";;;;;;;
Voiture;FUSO;AUTRE;;;;34;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 34);";;;;;;;
Voiture;GAC;GONOW;GA200;;;35;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GONOW GA200 ', 35);";;;;;;;
Voiture;GAC;GONOW;WAY;;;35;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GONOW WAY ', 35);";;;;;;;
Voiture;GAC;GONOW;AUTRE;;;35;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GONOW AUTRE ', 35);";;;;;;;
Voiture;GME;COMBI;MINIBUS;;;36;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('COMBI MINIBUS ', 36);";;;;;;;
Voiture;GME;FOURGON;MIDI;;;36;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FOURGON MIDI ', 36);";;;;;;;
Voiture;GME;RASCAL;;;;36;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RASCAL  ', 36);";;;;;;;
Voiture;GME;AUTRE;;;;36;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 36);";;;;;;;
Voiture;GRANDIN;DALLAS;;;;37;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DALLAS  ', 37);";;;;;;;
Voiture;GRANDIN;AUTRE;;;;37;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 37);";;;;;;;
Voiture;HONDA;ACCORD;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ACCORD  ', 38);";;;;;;;
Voiture;HONDA;ACTY;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ACTY  ', 38);";;;;;;;
Voiture;HONDA;CIVIC;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CIVIC  ', 38);";;;;;;;
Voiture;HONDA;CIVIC;AERODECK;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CIVIC AERODECK ', 38);";;;;;;;
Voiture;HONDA;CONCERTO;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CONCERTO  ', 38);";;;;;;;
Voiture;HONDA;CR;Z;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CR Z ', 38);";;;;;;;
Voiture;HONDA;CRV;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CRV  ', 38);";;;;;;;
Voiture;HONDA;CR-V;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CR-V  ', 38);";;;;;;;
Voiture;HONDA;CRX;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CRX  ', 38);";;;;;;;
Voiture;HONDA;FR-V;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FR-V  ', 38);";;;;;;;
Voiture;HONDA;HR-V;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('HR-V  ', 38);";;;;;;;
Voiture;HONDA;INSIGHT;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('INSIGHT  ', 38);";;;;;;;
Voiture;HONDA;INTEGRA;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('INTEGRA  ', 38);";;;;;;;
Voiture;HONDA;JAZZ;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('JAZZ  ', 38);";;;;;;;
Voiture;HONDA;LEGEND;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LEGEND  ', 38);";;;;;;;
Voiture;HONDA;LOGO;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LOGO  ', 38);";;;;;;;
Voiture;HONDA;NSX;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('NSX  ', 38);";;;;;;;
Voiture;HONDA;PRELUDE;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('PRELUDE  ', 38);";;;;;;;
Voiture;HONDA;QUINTET;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('QUINTET  ', 38);";;;;;;;
Voiture;HONDA;S2000;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S2000  ', 38);";;;;;;;
Voiture;HONDA;SHUTTLE;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SHUTTLE  ', 38);";;;;;;;
Voiture;HONDA;STREAM;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STREAM  ', 38);";;;;;;;
Voiture;HONDA;AUTRE;;;;38;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 38);";;;;;;;
Voiture;HOTCHKISS;JEEP;;;;39;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('JEEP  ', 39);";;;;;;;
Voiture;HOTCHKISS;AUTRE;;;;39;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 39);";;;;;;;
Voiture;HUMMER;H1;;;;40;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('H1  ', 40);";;;;;;;
Voiture;HUMMER;H2;;;;40;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('H2  ', 40);";;;;;;;
Voiture;HUMMER;H3;;;;40;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('H3  ', 40);";;;;;;;
Voiture;HUMMER;AUTRE;;;;40;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 40);";;;;;;;
Voiture;HYUNDAI;ACCENT;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ACCENT  ', 41);";;;;;;;
Voiture;HYUNDAI;ACCENT;SOCIETE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ACCENT SOCIETE ', 41);";;;;;;;
Voiture;HYUNDAI;ATOS;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ATOS  ', 41);";;;;;;;
Voiture;HYUNDAI;ATOS;PRIME;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ATOS PRIME ', 41);";;;;;;;
Voiture;HYUNDAI;AZERA;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AZERA  ', 41);";;;;;;;
Voiture;HYUNDAI;COUPE;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('COUPE  ', 41);";;;;;;;
Voiture;HYUNDAI;ELANTRA;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ELANTRA  ', 41);";;;;;;;
Voiture;HYUNDAI;GALLOPER;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GALLOPER  ', 41);";;;;;;;
Voiture;HYUNDAI;GENESIS;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GENESIS  ', 41);";;;;;;;
Voiture;HYUNDAI;GETZ;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GETZ  ', 41);";;;;;;;
Voiture;HYUNDAI;GETZ;SOCIETE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GETZ SOCIETE ', 41);";;;;;;;
Voiture;HYUNDAI;H1;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('H1  ', 41);";;;;;;;
Voiture;HYUNDAI;H1;VAN;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('H1 VAN ', 41);";;;;;;;
Voiture;HYUNDAI;H100;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('H100  ', 41);";;;;;;;
Voiture;HYUNDAI;I10;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I10  ', 41);";;;;;;;
Voiture;HYUNDAI;I10;SOCIETE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I10 SOCIETE ', 41);";;;;;;;
Voiture;HYUNDAI;I20;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I20  ', 41);";;;;;;;
Voiture;HYUNDAI;I20;SOCIETE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I20 SOCIETE ', 41);";;;;;;;
Voiture;HYUNDAI;I30;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I30  ', 41);";;;;;;;
Voiture;HYUNDAI;I30;CW;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I30 CW ', 41);";;;;;;;
Voiture;HYUNDAI;I30;SOCIETE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I30 SOCIETE ', 41);";;;;;;;
Voiture;HYUNDAI;I40;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('I40  ', 41);";;;;;;;
Voiture;HYUNDAI;IX;55;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('IX 55 ', 41);";;;;;;;
Voiture;HYUNDAI;IX20;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('IX20  ', 41);";;;;;;;
Voiture;HYUNDAI;IX35;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('IX35  ', 41);";;;;;;;
Voiture;HYUNDAI;IX55;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('IX55  ', 41);";;;;;;;
Voiture;HYUNDAI;LANTRA;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LANTRA  ', 41);";;;;;;;
Voiture;HYUNDAI;MATRIX;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MATRIX  ', 41);";;;;;;;
Voiture;HYUNDAI;MATRIX;SOCIETE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MATRIX SOCIETE ', 41);";;;;;;;
Voiture;HYUNDAI;PONY;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('PONY  ', 41);";;;;;;;
Voiture;HYUNDAI;SANTA;FE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SANTA FE ', 41);";;;;;;;
Voiture;HYUNDAI;SATELLITE;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SATELLITE  ', 41);";;;;;;;
Voiture;HYUNDAI;SCOUPE;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SCOUPE  ', 41);";;;;;;;
Voiture;HYUNDAI;SONATA;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SONATA  ', 41);";;;;;;;
Voiture;HYUNDAI;TERRACAN;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TERRACAN  ', 41);";;;;;;;
Voiture;HYUNDAI;TERRACAN;SOCIETE;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TERRACAN SOCIETE ', 41);";;;;;;;
Voiture;HYUNDAI;TRAJET;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRAJET  ', 41);";;;;;;;
Voiture;HYUNDAI;TUCSON;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TUCSON  ', 41);";;;;;;;
Voiture;HYUNDAI;VELOSTER;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('VELOSTER  ', 41);";;;;;;;
Voiture;HYUNDAI;XG;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XG  ', 41);";;;;;;;
Voiture;HYUNDAI;AUTRE;;;;41;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 41);";;;;;;;
Voiture;INFINITI;EX;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('EX  ', 42);";;;;;;;
Voiture;INFINITI;FX;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FX  ', 42);";;;;;;;
Voiture;INFINITI;G;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('G  ', 42);";;;;;;;
Voiture;INFINITI;M;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('M  ', 42);";;;;;;;
Voiture;INFINITI;Q30;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Q30  ', 42);";;;;;;;
Voiture;INFINITI;Q50;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Q50  ', 42);";;;;;;;
Voiture;INFINITI;Q60;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Q60  ', 42);";;;;;;;
Voiture;INFINITI;Q70;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Q70  ', 42);";;;;;;;
Voiture;INFINITI;QX30;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('QX30  ', 42);";;;;;;;
Voiture;INFINITI;QX50;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('QX50  ', 42);";;;;;;;
Voiture;INFINITI;QX70;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('QX70  ', 42);";;;;;;;
Voiture;INFINITI;AUTRE;;;;42;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 42);";;;;;;;
Voiture;INNOCENTI;120;;;;43;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('120  ', 43);";;;;;;;
Voiture;INNOCENTI;500;;;;43;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('500  ', 43);";;;;;;;
Voiture;INNOCENTI;990;;;;43;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('990  ', 43);";;;;;;;
Voiture;INNOCENTI;DE;TOMASO;;;43;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DE TOMASO ', 43);";;;;;;;
Voiture;INNOCENTI;MINI;2;;;43;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MINI 2 ', 43);";;;;;;;
Voiture;INNOCENTI;MINI;3;;;43;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MINI 3 ', 43);";;;;;;;
Voiture;INNOCENTI;AUTRE;;;;43;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 43);";;;;;;;
Voiture;ISUZU;D;MAX;;;44;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('D MAX ', 44);";;;;;;;
Voiture;ISUZU;SERIE;N;;;44;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SERIE N ', 44);";;;;;;;
Voiture;ISUZU;TROOPER;;;;44;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TROOPER  ', 44);";;;;;;;
Voiture;ISUZU;AUTRE;;;;44;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 44);";;;;;;;
Voiture;IVECO;DAILY;;;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAILY  ', 45);";;;;;;;
Voiture;IVECO;DAILY;BASIC;;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAILY BASIC ', 45);";;;;;;;
Voiture;IVECO;DAILY;CLASSE;C;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAILY CLASSE C', 45);";;;;;;;
Voiture;IVECO;DAILY;CLASSE;L;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAILY CLASSE L', 45);";;;;;;;
Voiture;IVECO;DAILY;CLASSE;S;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAILY CLASSE S', 45);";;;;;;;
Voiture;IVECO;DAILY;CLASSIC;;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAILY CLASSIC ', 45);";;;;;;;
Voiture;IVECO;MASSIF;;;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MASSIF  ', 45);";;;;;;;
Voiture;IVECO;PIAGGIO;;;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('PIAGGIO  ', 45);";;;;;;;
Voiture;IVECO;AUTRE;;;;45;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 45);";;;;;;;
Voiture;JAGUAR;DAIMLER;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAIMLER  ', 46);";;;;;;;
Voiture;JAGUAR;F-PACE;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('F-PACE  ', 46);";;;;;;;
Voiture;JAGUAR;F-TYPE;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('F-TYPE  ', 46);";;;;;;;
Voiture;JAGUAR;SOVEREIGN;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SOVEREIGN  ', 46);";;;;;;;
Voiture;JAGUAR;S-TYPE;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S-TYPE  ', 46);";;;;;;;
Voiture;JAGUAR;XE;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XE  ', 46);";;;;;;;
Voiture;JAGUAR;XF;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XF  ', 46);";;;;;;;
Voiture;JAGUAR;XJ;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XJ  ', 46);";;;;;;;
Voiture;JAGUAR;XJ6;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XJ6  ', 46);";;;;;;;
Voiture;JAGUAR;XJ8;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XJ8  ', 46);";;;;;;;
Voiture;JAGUAR;XJR;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XJR  ', 46);";;;;;;;
Voiture;JAGUAR;XJS;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XJS  ', 46);";;;;;;;
Voiture;JAGUAR;XK;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XK  ', 46);";;;;;;;
Voiture;JAGUAR;XK8;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XK8  ', 46);";;;;;;;
Voiture;JAGUAR;XKR;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('XKR  ', 46);";;;;;;;
Voiture;JAGUAR;X-TYPE;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('X-TYPE  ', 46);";;;;;;;
Voiture;JAGUAR;X-TYPE;ESTATE;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('X-TYPE ESTATE ', 46);";;;;;;;
Voiture;JAGUAR;AUTRE;;;;46;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 46);";;;;;;;
Voiture;JEEP;CHEROKEE;;;;47;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CHEROKEE  ', 47);";;;;;;;
